epoch,accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.5836250185966492,0.593984842300415,2.647888660430908,0.5836250185966492,0.5836250185966492,0.6134999990463257,0.6608656048774719,0.6557100415229797,0.6134999990463257,0.6134999990463257
1,0.6654999852180481,0.7316426038742065,0.6107084155082703,0.6654999852180481,0.6654999852180481,0.6455000042915344,0.714589536190033,0.6321970224380493,0.6455000042915344,0.6455000042915344
2,0.7127500176429749,0.7858415246009827,0.5603301525115967,0.7127500176429749,0.7127500176429749,0.7200000286102295,0.7943205237388611,0.549186110496521,0.7200000286102295,0.7200000286102295
3,0.7475625276565552,0.8282966017723083,0.5108088254928589,0.7475625276565552,0.7475625276565552,0.7524999976158142,0.8376961350440979,0.5050914883613586,0.7524999976158142,0.7524999976158142
4,0.7815625071525574,0.8630032539367676,0.4617161154747009,0.7815625071525574,0.7815625071525574,0.737500011920929,0.8156967163085938,0.5287776589393616,0.737500011920929,0.737500011920929
5,0.8105000257492065,0.8934775590896606,0.41090771555900574,0.8105000257492065,0.8105000257492065,0.7735000252723694,0.8426141142845154,0.49673035740852356,0.7735000252723694,0.7735000252723694
6,0.8310624957084656,0.913892388343811,0.3688400983810425,0.8310624957084656,0.8310624957084656,0.7574999928474426,0.8426750898361206,0.524773120880127,0.7574999928474426,0.7574999928474426
7,0.8575000166893005,0.9374807476997375,0.3149630129337311,0.8575000166893005,0.8575000166893005,0.8374999761581421,0.9102531671524048,0.3813357353210449,0.8374999761581421,0.8374999761581421
8,0.8766875267028809,0.9494330883026123,0.2819792926311493,0.8766875267028809,0.8766875267028809,0.8525000214576721,0.9194228053092957,0.35681402683258057,0.8525000214576721,0.8525000214576721
9,0.8838124871253967,0.9585146903991699,0.253034383058548,0.8838124871253967,0.8838124871253967,0.8460000157356262,0.9137834310531616,0.39245378971099854,0.8460000157356262,0.8460000157356262
10,0.8943125009536743,0.9636558890342712,0.23485441505908966,0.8943125009536743,0.8943125009536743,0.7760000228881836,0.8364461064338684,0.6931344866752625,0.7760000228881836,0.7760000228881836
11,0.9101874828338623,0.9684373736381531,0.21565738320350647,0.9101874828338623,0.9101874828338623,0.7735000252723694,0.8319730162620544,0.8067615032196045,0.7735000252723694,0.7735000252723694
12,0.9161875247955322,0.9749906063079834,0.19082817435264587,0.9161875247955322,0.9161875247955322,0.7459999918937683,0.8012116551399231,0.995908796787262,0.7459999918937683,0.7459999918937683
13,0.934374988079071,0.9828805327415466,0.1517360508441925,0.934374988079071,0.934374988079071,0.8245000243186951,0.8703231811523438,0.6652486324310303,0.8245000243186951,0.8245000243186951
14,0.9418749809265137,0.9850666522979736,0.1406470388174057,0.9418749809265137,0.9418749809265137,0.7599999904632568,0.8000295162200928,1.1746124029159546,0.7599999904632568,0.7599999904632568
15,0.9396874904632568,0.9840589165687561,0.14578956365585327,0.9396874904632568,0.9396874904632568,0.8529999852180481,0.9027093052864075,0.45628222823143005,0.8529999852180481,0.8529999852180481
16,0.9398124814033508,0.9841092824935913,0.13917917013168335,0.9398124814033508,0.9398124814033508,0.796500027179718,0.846163809299469,0.727530837059021,0.796500027179718,0.796500027179718
17,0.9375625252723694,0.982241690158844,0.14899903535842896,0.9375625252723694,0.9375625252723694,0.8684999942779541,0.9236184358596802,0.36855432391166687,0.8684999942779541,0.8684999942779541
18,0.9571250081062317,0.9905322194099426,0.1048830971121788,0.9571250081062317,0.9571250081062317,0.8665000200271606,0.916816771030426,0.4102608561515808,0.8665000200271606,0.8665000200271606
19,0.9711250066757202,0.9944919347763062,0.07271421700716019,0.9711250066757202,0.9711250066757202,0.8709999918937683,0.9169182777404785,0.44586896896362305,0.8709999918937683,0.8709999918937683
20,0.9723749756813049,0.9946557283401489,0.06912161409854889,0.9723749756813049,0.9723749756813049,0.8700000047683716,0.9050876498222351,0.5920546650886536,0.8700000047683716,0.8700000047683716
21,0.9755625128746033,0.9953209161758423,0.0610898919403553,0.9755625128746033,0.9755625128746033,0.8694999814033508,0.9131598472595215,0.4876868426799774,0.8694999814033508,0.8694999814033508
22,0.9823750257492065,0.9963932037353516,0.04854803532361984,0.9823750257492065,0.9823750257492065,0.8634999990463257,0.902316689491272,0.5738341808319092,0.8634999990463257,0.8634999990463257
23,0.9782500267028809,0.995025634765625,0.058695144951343536,0.9782500267028809,0.9782500267028809,0.8815000057220459,0.9270968437194824,0.4332442581653595,0.8815000057220459,0.8815000057220459
24,0.9781249761581421,0.9951735734939575,0.05850764736533165,0.9781249761581421,0.9781249761581421,0.8799999952316284,0.9241640567779541,0.42305639386177063,0.8799999952316284,0.8799999952316284
25,0.976687490940094,0.995923638343811,0.05650411918759346,0.976687490940094,0.976687490940094,0.8845000267028809,0.9195948243141174,0.490670770406723,0.8845000267028809,0.8845000267028809
26,0.9779999852180481,0.9957290887832642,0.05869877338409424,0.9779999852180481,0.9779999852180481,0.8604999780654907,0.9065020680427551,0.5069971680641174,0.8604999780654907,0.8604999780654907
27,0.9742500185966492,0.9944502711296082,0.06842099130153656,0.9742500185966492,0.9742500185966492,0.8700000047683716,0.9172307848930359,0.4655170738697052,0.8700000047683716,0.8700000047683716
28,0.9794999957084656,0.9960096478462219,0.0550944022834301,0.9794999957084656,0.9794999957084656,0.8824999928474426,0.9111801981925964,0.5292406678199768,0.8824999928474426,0.8824999928474426
29,0.9793750047683716,0.9961497783660889,0.05454885587096214,0.9793750047683716,0.9793750047683716,0.8895000219345093,0.9164910316467285,0.49876248836517334,0.8895000219345093,0.8895000219345093
30,0.9807500243186951,0.9964667558670044,0.04989513382315636,0.9807500243186951,0.9807500243186951,0.8579999804496765,0.8854688405990601,0.7943210601806641,0.8579999804496765,0.8579999804496765
31,0.9823750257492065,0.9962462186813354,0.04636139050126076,0.9823750257492065,0.9823750257492065,0.8665000200271606,0.9038043022155762,0.6616964340209961,0.8665000200271606,0.8665000200271606
32,0.9832500219345093,0.9968856573104858,0.04536782205104828,0.9832500219345093,0.9832500219345093,0.8794999718666077,0.9207001328468323,0.4820772111415863,0.8794999718666077,0.8794999718666077
33,0.9853749871253967,0.997613787651062,0.03963784500956535,0.9853749871253967,0.9853749871253967,0.8899999856948853,0.9155398011207581,0.5749872922897339,0.8899999856948853,0.8899999856948853
34,0.9840624928474426,0.9972208142280579,0.0419730469584465,0.9840624928474426,0.9840624928474426,0.8865000009536743,0.9209461212158203,0.5073999762535095,0.8865000009536743,0.8865000009536743
35,0.9846875071525574,0.9968409538269043,0.041878875344991684,0.9846875071525574,0.9846875071525574,0.8859999775886536,0.9180210828781128,0.5638664364814758,0.8859999775886536,0.8859999775886536
36,0.9830625057220459,0.9961581230163574,0.04926517605781555,0.9830625057220459,0.9830625057220459,0.8799999952316284,0.9182441234588623,0.5225918292999268,0.8799999952316284,0.8799999952316284
37,0.9845625162124634,0.9969363808631897,0.043362006545066833,0.9845625162124634,0.9845625162124634,0.8759999871253967,0.9123433232307434,0.5167737603187561,0.8759999871253967,0.8759999871253967
38,0.9846875071525574,0.9965240359306335,0.04165615141391754,0.9846875071525574,0.9846875071525574,0.8420000076293945,0.8774918913841248,0.7730024456977844,0.8420000076293945,0.8420000076293945
39,0.9821249842643738,0.9967343211174011,0.046759139746427536,0.9821249842643738,0.9821249842643738,0.8755000233650208,0.9159212708473206,0.5131580233573914,0.8755000233650208,0.8755000233650208
40,0.9834374785423279,0.9966428279876709,0.04322460666298866,0.9834374785423279,0.9834374785423279,0.878000020980835,0.9231441020965576,0.458161860704422,0.878000020980835,0.878000020980835
41,0.988937497138977,0.9982213377952576,0.030362194404006004,0.988937497138977,0.988937497138977,0.8464999794960022,0.8737133145332336,0.8499274253845215,0.8464999794960022,0.8464999794960022
42,0.9897500276565552,0.9973604679107666,0.03044266253709793,0.9897500276565552,0.9897500276565552,0.8700000047683716,0.9088387489318848,0.64894038438797,0.8700000047683716,0.8700000047683716
43,0.9907500147819519,0.9983341693878174,0.026135269552469254,0.9907500147819519,0.9907500147819519,0.890999972820282,0.9229810237884521,0.5227062106132507,0.890999972820282,0.890999972820282
44,0.9883124828338623,0.9977385997772217,0.03153597190976143,0.9883124828338623,0.9883124828338623,0.890500009059906,0.9283783435821533,0.47580668330192566,0.890500009059906,0.890500009059906
45,0.9913125038146973,0.9985488057136536,0.025558097288012505,0.9913125038146973,0.9913125038146973,0.8560000061988831,0.8893787860870361,0.8632044196128845,0.8560000061988831,0.8560000061988831
46,0.9888749718666077,0.9981911778450012,0.029422184452414513,0.9888749718666077,0.9888749718666077,0.8774999976158142,0.9003738760948181,0.7523636817932129,0.8774999976158142,0.8774999976158142
47,0.9898750185966492,0.9978053569793701,0.028808992356061935,0.9898750185966492,0.9898750185966492,0.8855000138282776,0.9219743013381958,0.5354467630386353,0.8855000138282776,0.8855000138282776
48,0.9900000095367432,0.9984506964683533,0.02771354839205742,0.9900000095367432,0.9900000095367432,0.8529999852180481,0.8807398676872253,0.8885286450386047,0.8529999852180481,0.8529999852180481
49,0.9913750290870667,0.9985050559043884,0.024769168347120285,0.9913750290870667,0.9913750290870667,0.887499988079071,0.9168413281440735,0.6928070187568665,0.887499988079071,0.887499988079071
50,0.9900624752044678,0.9980995655059814,0.02767256461083889,0.9900624752044678,0.9900624752044678,0.890999972820282,0.9130367636680603,0.5913277268409729,0.890999972820282,0.890999972820282
51,0.9917500019073486,0.9981018304824829,0.024831663817167282,0.9917500019073486,0.9917500019073486,0.8769999742507935,0.9039324522018433,0.6845487356185913,0.8769999742507935,0.8769999742507935
52,0.9908750057220459,0.9982607364654541,0.028125671669840813,0.9908750057220459,0.9908750057220459,0.8865000009536743,0.917709469795227,0.547278642654419,0.8865000009536743,0.8865000009536743
53,0.9918749928474426,0.9984466433525085,0.023794429376721382,0.9918749928474426,0.9918749928474426,0.890999972820282,0.922685980796814,0.531608521938324,0.890999972820282,0.890999972820282
54,0.9901250004768372,0.9985105991363525,0.02714523859322071,0.9901250004768372,0.9901250004768372,0.8575000166893005,0.8894079923629761,0.9065560102462769,0.8575000166893005,0.8575000166893005
55,0.9896875023841858,0.9980323910713196,0.027647117152810097,0.9896875023841858,0.9896875023841858,0.8845000267028809,0.917009711265564,0.5796918272972107,0.8845000267028809,0.8845000267028809
56,0.9910625219345093,0.9985308647155762,0.024808282032608986,0.9910625219345093,0.9910625219345093,0.8870000243186951,0.9150111675262451,0.6014896631240845,0.8870000243186951,0.8870000243186951
57,0.9925000071525574,0.9982536435127258,0.023478830233216286,0.9925000071525574,0.9925000071525574,0.8765000104904175,0.9053387641906738,0.6297612190246582,0.8765000104904175,0.8765000104904175
58,0.9907500147819519,0.9975210428237915,0.0255265012383461,0.9907500147819519,0.9907500147819519,0.8734999895095825,0.9068997502326965,0.5373244285583496,0.8734999895095825,0.8734999895095825
59,0.9896875023841858,0.998102605342865,0.027304504066705704,0.9896875023841858,0.9896875023841858,0.8970000147819519,0.9253992438316345,0.6088910102844238,0.8970000147819519,0.8970000147819519
60,0.9926875233650208,0.9980930089950562,0.02228998765349388,0.9926875233650208,0.9926875233650208,0.8920000195503235,0.9259500503540039,0.5492188930511475,0.8920000195503235,0.8920000195503235
61,0.9934375286102295,0.9983527064323425,0.019273297861218452,0.9934375286102295,0.9934375286102295,0.859000027179718,0.8887407183647156,1.040528655052185,0.859000027179718,0.859000027179718
62,0.9912499785423279,0.9978158473968506,0.025152068585157394,0.9912499785423279,0.9912499785423279,0.8970000147819519,0.9215208888053894,0.5566838979721069,0.8970000147819519,0.8970000147819519
63,0.9915000200271606,0.9977982640266418,0.02350873313844204,0.9915000200271606,0.9915000200271606,0.8859999775886536,0.9153596758842468,0.6389344334602356,0.8859999775886536,0.8859999775886536
64,0.9908124804496765,0.9975854754447937,0.026492401957511902,0.9908124804496765,0.9908124804496765,0.8895000219345093,0.9207580089569092,0.5403530597686768,0.8895000219345093,0.8895000219345093
65,0.991812527179718,0.9982655048370361,0.02261384390294552,0.991812527179718,0.991812527179718,0.8769999742507935,0.913520336151123,0.6387864351272583,0.8769999742507935,0.8769999742507935
66,0.9917500019073486,0.9984962940216064,0.024224262684583664,0.9917500019073486,0.9917500019073486,0.8880000114440918,0.9188803434371948,0.6080865859985352,0.8880000114440918,0.8880000114440918
67,0.9934375286102295,0.9978924989700317,0.018978990614414215,0.9934375286102295,0.9934375286102295,0.890500009059906,0.9120779633522034,0.688503086566925,0.890500009059906,0.890500009059906
68,0.9926875233650208,0.9985225200653076,0.022562826052308083,0.9926875233650208,0.9926875233650208,0.8820000290870667,0.9107753038406372,0.721549928188324,0.8820000290870667,0.8820000290870667
69,0.9925000071525574,0.9979643225669861,0.021620512008666992,0.9925000071525574,0.9925000071525574,0.8865000009536743,0.9116727113723755,0.6872064471244812,0.8865000009536743,0.8865000009536743
